SYMBOL,NEWS,SentimentScore
ACC,,0
AMBUJACEM,,0
GRASIM,,0
INDIACEM,,0
AJANTPHARM,,0
AUROPHARMA,,0
CADILAHC,,0
BIOCON,,0
BAJAJ-AUTO,,0
HEROMOTOCO,,0
AMARAJABAT,,0
